City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bredasdorp,-34.5322,20.0403,62.6,94,58,5.75,ZA,1616557552
Władysławowo,54.7909,18.4009,41.0,81,90,8.05,PL,1616557552
Chapais,49.7834,-74.8492,37.4,52,90,4.61,CA,1616557553
Neuquén,-38.9516,-68.0591,69.8,46,0,11.5,AR,1616557553
Albany,42.6001,-73.9662,52.0,60,100,3.2,US,1616557425
Tuktoyaktuk,69.4541,-133.0374,-2.2,71,75,11.5,CA,1616557555
Hermanus,-34.4187,19.2345,66.99,83,12,8.01,ZA,1616557555
Port Elizabeth,-33.918,25.5701,66.2,88,0,9.22,ZA,1616557555
Qaanaaq,77.484,-69.3632,-22.99,63,96,6.26,GL,1616557556
Kaitangata,-46.2817,169.8464,57.99,74,99,5.99,NZ,1616557556
Grand Island,40.925,-98.342,42.8,87,90,21.85,US,1616557557
Kapaa,22.0752,-159.319,77.0,50,1,9.22,US,1616557353
Punta Arenas,-53.15,-70.9167,41.0,75,0,31.07,CL,1616557557
Wanning,18.8003,110.3967,79.03,68,17,9.75,CN,1616557558
São Miguel do Araguaia,-13.275,-50.1628,72.77,86,100,2.01,BR,1616557558
Jamestown,42.097,-79.2353,55.4,58,75,12.01,US,1616557559
Rikitea,-23.1203,-134.9692,80.28,74,15,11.43,PF,1616557559
Bluff,-46.6,168.3333,59.0,71,76,3.0,NZ,1616557559
Mandalī,33.7499,45.5541,78.55,31,100,34.67,IQ,1616557560
Felipe Carrillo Puerto,19.5833,-88.05,72.0,97,8,3.8,MX,1616557560
East London,-33.0153,27.9116,59.0,94,0,3.44,ZA,1616557560
Severo-Kuril'sk,50.6789,156.125,34.14,88,90,16.64,RU,1616557561
New Norfolk,-42.7826,147.0587,62.01,84,100,6.2,AU,1616557561
Saint-Philippe,-21.3585,55.7679,80.6,69,0,4.61,RE,1616557562
Buin,-33.7333,-70.75,64.99,67,0,6.91,CL,1616557562
Ushuaia,-54.8,-68.3,42.8,93,75,34.52,AR,1616557563
Tasiilaq,65.6145,-37.6368,6.8,72,10,6.91,GL,1616557563
Mayo,38.8876,-76.5119,53.6,94,90,8.05,US,1616557564
Port Hardy,50.6996,-127.4199,42.8,93,90,6.91,CA,1616557564
Port Alfred,-33.5906,26.891,66.4,80,98,14.18,ZA,1616557565
Kavieng,-2.5744,150.7967,81.14,79,100,9.48,PG,1616557565
Alpena,45.0617,-83.4327,44.6,61,75,5.75,US,1616557565
Pevek,69.7008,170.3133,4.64,84,100,4.47,RU,1616557566
Bathsheba,13.2167,-59.5167,77.0,57,40,19.57,BB,1616557409
Umluj,25.0213,37.2685,84.2,32,0,21.77,SA,1616557566
Genhe,50.7833,121.5167,34.07,65,96,6.49,CN,1616557567
Faya,18.3851,42.4509,57.2,26,0,5.75,SA,1616557567
Kandrian,-6.2167,149.55,83.8,77,97,3.29,PG,1616557568
Zarand,30.8127,56.564,64.74,24,0,2.59,IR,1616557568
Pangnirtung,66.1451,-65.7125,-31.05,96,96,4.88,CA,1616557569
Waipawa,-41.4122,175.5153,66.0,82,90,14.97,NZ,1616557569
Baykit,61.67,96.37,17.78,86,95,2.91,RU,1616557570
Big Bend,-26.8167,31.9333,69.8,88,100,2.3,SZ,1616557570
Chokurdakh,70.6333,147.9167,-6.48,94,100,9.84,RU,1616557571
Zhangaözen,43.3,52.8,47.79,58,98,24.07,KZ,1616557571
Kirakira,-10.4544,161.9205,84.0,74,85,5.5,SB,1616557572
Hobart,-42.8794,147.3294,62.01,88,75,10.36,AU,1616557572
Grand-Santi,4.25,-54.3833,72.97,99,100,1.81,GF,1616557573
Makakilo City,21.3469,-158.0858,75.2,83,90,6.91,US,1616557573
Oranjemund,-28.55,16.4333,63.55,84,0,4.88,NA,1616557574
Sechura,-5.5569,-80.8222,74.89,71,98,16.26,PE,1616557575
Niono,14.2526,-5.993,78.19,16,68,10.56,ML,1616557575
Avarua,-21.2078,-159.775,84.2,79,20,10.36,CK,1616557576
Salta,-24.7859,-65.4117,60.8,94,40,4.61,AR,1616557576
Linjiang,41.8069,126.9078,51.21,51,100,4.72,CN,1616557576
Atuona,-9.8,-139.0333,80.92,72,100,18.19,PF,1616557577
Bengkulu,-3.8004,102.2655,80.98,73,94,2.53,ID,1616557577
Mataura,-46.1927,168.8643,59.0,71,100,3.0,NZ,1616557578
Mergen,49.1833,125.2167,39.29,38,48,6.24,CN,1616557578
Kruisfontein,-34.0033,24.7314,61.0,92,100,1.99,ZA,1616557579
Nagato,34.3833,131.2,60.8,71,75,5.75,JP,1616557579
Nago,26.5881,127.9761,71.6,64,75,11.5,JP,1616557580
Isangel,-19.55,169.2667,82.4,69,75,10.22,VU,1616557580
Mnogovershinnyy,53.9353,139.9242,10.6,65,1,22.93,RU,1616557581
Waltershausen,50.9,10.5667,37.99,82,1,4.16,DE,1616557581
Port-Gentil,-0.7193,8.7815,79.99,77,100,13.67,GA,1616557582
Tadine,-21.55,167.8833,76.96,65,97,9.62,NC,1616557582
San Cristobal,7.7669,-72.225,67.17,92,84,0.87,VE,1616557582
Richards Bay,-28.783,32.0377,68.07,81,100,3.42,ZA,1616557583
Yumen,40.2833,97.2,53.78,9,37,15.43,CN,1616557380
Badamdar,40.3394,49.8039,50.0,100,40,18.41,AZ,1616557583
Porto Murtinho,-21.6989,-57.8825,75.11,73,44,2.48,BR,1616557584
Caravelas,-17.7125,-39.2481,74.46,88,0,3.89,BR,1616557584
Hilo,19.7297,-155.09,77.0,69,20,11.5,US,1616557354
Zhicheng,30.2956,111.5047,69.66,45,0,5.61,CN,1616557585
Dukat,62.55,155.55,-0.65,81,59,3.06,RU,1616557348
Geraldton,-28.7667,114.6,80.6,29,0,13.8,AU,1616557349
Touros,-5.1989,-35.4608,75.2,94,20,3.44,BR,1616557586
Ulety,51.3572,112.4849,38.17,73,99,7.18,RU,1616557586
Palmer,42.1584,-72.3287,45.0,78,97,3.09,US,1616557586
Saskylakh,71.9167,114.0833,-15.97,89,94,5.77,RU,1616557587
Roald,62.5833,6.1333,44.6,70,90,20.71,NO,1616557587
Harrai,22.6167,79.2167,86.59,22,88,5.32,IN,1616557587
Aasiaat,68.7098,-52.8699,-14.89,95,97,6.49,GL,1616557587
Barrow,71.2906,-156.7887,-9.4,70,1,10.36,US,1616557588
Mogadishu,2.0371,45.3438,78.71,75,59,12.17,SO,1616557294
Aksu,41.1231,80.2644,55.89,30,65,3.58,CN,1616557588
George Town,5.4112,100.3354,86.0,74,20,3.44,MY,1616557533
Porbandar,21.6422,69.6093,69.8,94,0,3.44,IN,1616557589
Dori,14.0354,-0.0345,81.39,9,85,12.19,BF,1616557589
Hong Kong,22.2855,114.1577,73.0,66,63,1.01,HK,1616557589
Nabire,-3.3667,135.4833,87.19,63,90,5.19,ID,1616557338
Amboasary,-25.0333,46.3833,73.4,94,40,4.38,MG,1616557590
Norman Wells,65.282,-126.8329,8.6,56,40,13.8,CA,1616557590
Cherskiy,68.75,161.3,9.73,91,100,4.94,RU,1616557590
Ribeira Grande,38.5167,-28.7,55.53,56,28,8.9,PT,1616557591
Fairbanks,64.8378,-147.7164,17.6,67,75,5.75,US,1616557591
Iwaki,37.05,140.8833,63.0,51,3,5.01,JP,1616557591
Vangaindrano,-23.35,47.6,73.38,93,77,3.13,MG,1616557592
Bethel,41.3712,-73.414,46.4,71,1,2.15,US,1616557592
Cabo San Lucas,22.8909,-109.9124,64.99,70,43,15.95,MX,1616557583
Carnarvon,-24.8667,113.6333,78.8,57,6,13.8,AU,1616557399
Tiksi,71.6872,128.8694,-15.38,97,98,2.51,RU,1616557592
Alofi,-19.0595,-169.9187,80.6,89,40,6.91,NU,1616557593
São Filipe,14.8961,-24.4956,70.56,75,7,7.7,CV,1616557593
